🤖 Starting AI analysis for https://nobina.se
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: failed - 10%
❌ [SSE] AI Analysis failed: cmghit7ck0001r2jciglhkktx
🔌 [SSE] Client disconnected: cmghit7ck0001r2jciglhkktx
🤖 Starting AI analysis for https://Stackr.se
✅ Created AI analysis cmghixzp40002r2jc7mwvmobx for https://Stackr.se
🤖 Added AI Analysis job 64 for https://Stackr.se
🚀 Queued AI analysis job 64 for https://Stackr.se
📡 [SSE] Client connecting for AI job: cmghixzp40002r2jc7mwvmobx
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
🔌 [SSE] Client disconnected: cmghixzp40002r2jc7mwvmobx
📡 [SSE] Client connecting for AI job: cmghixzp40002r2jc7mwvmobx
📈 [SSE] AI Progress: failed - 10%
❌ [SSE] AI Analysis failed: cmghixzp40002r2jc7mwvmobx
🔌 [SSE] Client disconnected: cmghixzp40002r2jc7mwvmobx
🤖 Starting AI analysis for https://Seoanalyze.se
✅ Created AI analysis cmghj33gi0003r2jcb66cec8p for https://Seoanalyze.se
🤖 Added AI Analysis job 65 for https://Seoanalyze.se
🚀 Queued AI analysis job 65 for https://Seoanalyze.se
📡 [SSE] Client connecting for AI job: cmghj33gi0003r2jcb66cec8p
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: completed - 100%
✅ [SSE] AI Analysis completed: cmghj33gi0003r2jcb66cec8p
🔌 [SSE] Client disconnected: cmghj33gi0003r2jcb66cec8p
🔍 Starting SEO analysis for https://www.carmint.se (client: feadd183-7abe-43b0-9dcb-a6f2ceaa5603)
📝 Created analysis 01K71NYHEZ5E0JYBDAHXKB26F2 for https://www.carmint.se
Added SEO job 5290 for https://www.carmint.se
🔍 Starting with unknown type, will resolve via job-meta
🔍 AnalysisPageClient using type: unknown for jobId: 5290
📡 Resolved queue: analysis -> seo for job 5290
📡 SSE for job 5290 using queue: seo, client: 3qwqfsg66ci
🔌 SSE cleanup for job 5290, client 3qwqfsg66ci
🔍 AnalysisPageClient using type: seo for jobId: 01K71NYHEZ5E0JYBDAHXKB26F2
✅ Connected to Redis
🔌 SSE cleanup for job 5290, client 3qwqfsg66ci
📡 SSE for job null using queue: seo, client: 9tot55u3ah6
🔌 SSE cleanup for job null, client 9tot55u3ah6
🔍 Starting SEO analysis for https://nocco.com/ (client: eb73a5dc-8ca8-4b60-aef9-0f2cb5f06aa9)
📝 Created analysis 01K71Q8J7P1V3KHHGSH8S8DBBB for https://nocco.com/
Added SEO job 5291 for https://nocco.com/
🔍 Starting with unknown type, will resolve via job-meta
🔍 AnalysisPageClient using type: unknown for jobId: 5291
📡 Resolved queue: analysis -> seo for job 5291
📡 SSE for job 5291 using queue: seo, client: w46ttc7befl
🔌 SSE cleanup for job 5291, client w46ttc7befl
🔍 AnalysisPageClient using type: seo for jobId: 01K71Q8J7P1V3KHHGSH8S8DBBB
Cache MISS: seo-analyzer:analysis-history:https://nocco.com/-10
Cache SET: seo-analyzer:analysis-history:https://nocco.com/-10 (TTL: 1800s)
📡 [SSE] Client connecting for AI job: cmggz3u5v0002r2l9pzcitc6m
📈 [SSE] AI Progress: completed - 100%
✅ [SSE] AI Analysis completed: cmggz3u5v0002r2l9pzcitc6m
🔌 [SSE] Client disconnected: cmggz3u5v0002r2l9pzcitc6m
🔍 Starting SEO analysis for https://www.webhallen.com (client: c97bfd84-e67d-44f1-83fe-d198766a1b8e)
📝 Created analysis 01K723Y9TKRW3YR269T171ZSSJ for https://www.webhallen.com
Added SEO job 5292 for https://www.webhallen.com
🔍 Starting CRAWL analysis for https://www.webhallen.com (client: 4e2bfff5-d63d-4134-bb18-bc168f8763ef)
📝 Created analysis 01K72405P8CGTCRTQ0YBDW79ER for https://www.webhallen.com
📝 Created Crawl analysis record: 01K72405P8CGTCRTQ0YBDW79ER
Added Crawl job 1002 for https://www.webhallen.com
🔍 Starting LIGHTHOUSE analysis for https://www.webhallen.com (client: b2bb2294-58ad-4b8f-b355-acc838be89fd)
📝 Created analysis 01K7244C5S0QSGAQ6YA0987M76 for https://www.webhallen.com
📝 Created Lighthouse analysis record: 01K7244C5S0QSGAQ6YA0987M76
Added Lighthouse job 491 for https://www.webhallen.com
🤖 Starting AI analysis for https://www.webhallen.com
✅ Created AI analysis cmgi3i2cw0004r2jcsd4mqxde for https://www.webhallen.com
🤖 Added AI Analysis job 66 for https://www.webhallen.com
🚀 Queued AI analysis job 66 for https://www.webhallen.com

> seo-analyzer-nextjs@0.1.0 start
> next start

   ▲ Next.js 15.5.2
   - Local:        http://localhost:5001
   - Network:      http://128.199.44.138:5001

 ✓ Starting...
 ✓ Ready in 1501ms
✅ Using Prisma singleton for database connection
[STORAGE] Local artifact storage initialized at /home/reda/seo-analyzer-nextjs/artifacts
✅ Connected to Redis
📡 SSE for job null using queue: seo, client: ai68p7ebw19
🔍 AnalysisPageClient using type: seo for jobId: 01K710CZ09RWES4VAD8H7ZH7ZA
🔌 SSE cleanup for job null, client ai68p7ebw19
✅ Connected to Redis
🔍 AnalysisPageClient using type: seo for jobId: 01K710CZ09RWES4VAD8H7ZH7ZA
Cache MISS: seo-analyzer:analysis-history:https://seoanalyze.se/-10
Cache SET: seo-analyzer:analysis-history:https://seoanalyze.se/-10 (TTL: 1800s)
📡 SSE for job null using queue: seo, client: 2gvoo5fv9am
🔌 SSE cleanup for job null, client 2gvoo5fv9am
📡 SSE for job null using queue: seo, client: 2gvoo5fv9am
🔌 SSE cleanup for job null, client 2gvoo5fv9am
📡 SSE for job null using queue: seo, client: 2gvoo5fv9am
🔌 SSE cleanup for job null, client 2gvoo5fv9am
📡 SSE for job null using queue: seo, client: 2gvoo5fv9am
🔌 SSE cleanup for job null, client 2gvoo5fv9am
📡 SSE for job null using queue: seo, client: 2gvoo5fv9am

> seo-analyzer-nextjs@0.1.0 start
> next start

   ▲ Next.js 15.5.2
   - Local:        http://localhost:5001
   - Network:      http://128.199.44.138:5001

 ✓ Starting...
 ✓ Ready in 1204ms
✅ Using Prisma singleton for database connection
[STORAGE] Local artifact storage initialized at /home/reda/seo-analyzer-nextjs/artifacts
✅ Connected to Redis

> seo-analyzer-nextjs@0.1.0 start
> next start

   ▲ Next.js 15.5.2
   - Local:        http://localhost:5001
   - Network:      http://128.199.44.138:5001

 ✓ Starting...
 ✓ Ready in 1495ms
✅ Using Prisma singleton for database connection
[STORAGE] Local artifact storage initialized at /home/reda/seo-analyzer-nextjs/artifacts
✅ Connected to Redis
📡 SSE for job null using queue: seo, client: 2gvoo5fv9am
🔌 SSE cleanup for job null, client 2gvoo5fv9am
📡 SSE for job null using queue: seo, client: 2gvoo5fv9am
🔌 SSE cleanup for job null, client 2gvoo5fv9am

> seo-analyzer-nextjs@0.1.0 start
> next start

   ▲ Next.js 15.5.2
   - Local:        http://localhost:5001
   - Network:      http://128.199.44.138:5001

 ✓ Starting...
 ✓ Ready in 1446ms
✅ Using Prisma singleton for database connection
[STORAGE] Local artifact storage initialized at /home/reda/seo-analyzer-nextjs/artifacts
✅ Connected to Redis
🔍 Starting SEO analysis for https://seoanalyze.se/ (client: a6cd422e-f606-4dbc-b6f8-643f91f07c8f)
📝 Created analysis 01K72A7H60EXF3QCS1TJ7TQCJF for https://seoanalyze.se/
Added SEO job 5295 for https://seoanalyze.se/
🔍 Starting with unknown type, will resolve via job-meta
🔍 AnalysisPageClient using type: unknown for jobId: 5295
📡 Resolved queue: analysis -> seo for job 5295
📡 SSE for job 5295 using queue: seo, client: vc03nz5taog
🔌 SSE cleanup for job 5295, client vc03nz5taog
🔍 AnalysisPageClient using type: seo for jobId: 01K72A7H60EXF3QCS1TJ7TQCJF
🔌 SSE cleanup for job 5295, client vc03nz5taog
📡 SSE for job null using queue: seo, client: hsm76jj5s3u
🔌 SSE cleanup for job null, client hsm76jj5s3u
📡 SSE for job null using queue: seo, client: hsm76jj5s3u
🔌 SSE cleanup for job null, client hsm76jj5s3u

> seo-analyzer-nextjs@0.1.0 start
> next start

   ▲ Next.js 15.5.2
   - Local:        http://localhost:5001
   - Network:      http://128.199.44.138:5001

 ✓ Starting...
 ✓ Ready in 1403ms
✅ Using Prisma singleton for database connection
[STORAGE] Local artifact storage initialized at /home/reda/seo-analyzer-nextjs/artifacts
✅ Connected to Redis

> seo-analyzer-nextjs@0.1.0 start
> next start

   ▲ Next.js 15.5.2
   - Local:        http://localhost:5001
   - Network:      http://128.199.44.138:5001

 ✓ Starting...
 ✓ Ready in 1600ms
✅ Using Prisma singleton for database connection
[STORAGE] Local artifact storage initialized at /home/reda/seo-analyzer-nextjs/artifacts
✅ Connected to Redis
📡 SSE for job null using queue: seo, client: 2gvoo5fv9am
🔌 SSE cleanup for job null, client 2gvoo5fv9am
📡 SSE for job null using queue: seo, client: 2gvoo5fv9am
🔌 SSE cleanup for job null, client 2gvoo5fv9am

> seo-analyzer-nextjs@0.1.0 start
> next start

   ▲ Next.js 15.5.2
   - Local:        http://localhost:5001
   - Network:      http://128.199.44.138:5001

 ✓ Starting...
 ✓ Ready in 1406ms
✅ Using Prisma singleton for database connection
[STORAGE] Local artifact storage initialized at /home/reda/seo-analyzer-nextjs/artifacts
✅ Connected to Redis
🔍 Starting SEO analysis for https://www.svt.se (client: 58ca3e50-082f-4b34-872b-ddf1a8090ac2)
📝 Created analysis 01K72DE3RD28Y0K6W4K9C270MP for https://www.svt.se
Added SEO job 5296 for https://www.svt.se
🔍 Starting with unknown type, will resolve via job-meta
🔍 AnalysisPageClient using type: unknown for jobId: 5296
📡 Resolved queue: analysis -> seo for job 5296
📡 SSE for job 5296 using queue: seo, client: jp5zj87ngr9
🔌 SSE cleanup for job 5296, client jp5zj87ngr9
🔍 AnalysisPageClient using type: seo for jobId: 01K72DE3RD28Y0K6W4K9C270MP
✅ Connected to Redis
🔌 SSE cleanup for job 5296, client jp5zj87ngr9
🤖 Starting AI analysis for https://seoanalyze.se/
✅ Created AI analysis cmgialff50006r2pq3dvlr26m for https://seoanalyze.se/
🤖 Added AI Analysis job 67 for https://seoanalyze.se/
🚀 Queued AI analysis job 67 for https://seoanalyze.se/
📡 [SSE] Client connecting for AI job: cmgialff50006r2pq3dvlr26m
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
🔌 [SSE] Client disconnected: cmgialff50006r2pq3dvlr26m
📡 [SSE] Client connecting for AI job: cmgialff50006r2pq3dvlr26m
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: completed - 100%
✅ [SSE] AI Analysis completed: cmgialff50006r2pq3dvlr26m
🔌 [SSE] Client disconnected: cmgialff50006r2pq3dvlr26m
Generating PDF for analysis cmgialff50006r2pq3dvlr26m (ai-analysis)
Creating new browser instance...
Browser instance created
Browser acquired from pool (1 in pool, 0 available)
✅ PDF generated for analysis cmgialff50006r2pq3dvlr26m (54830 bytes)
Browser operation completed in 2306ms
Browser released to pool
🖨️ Generated AI Analysis PDF for cmgialff50006r2pq3dvlr26m
[SAVE] Saved artifact locally: analyses/2025-10-08/cmgialff50006r2pq3dvlr26m/ai-report.pdf
💾 Stored AI Analysis PDF for cmgialff50006r2pq3dvlr26m
✅ Share service initialized
🔗 Created share 01k72fphew1e5zv0x3qb8jcsv5 for AI analysis cmgialff50006r2pq3dvlr26m
Destroying browser instance...
Browser instance destroyed
🔗 Created share 01k72fq63t3ndyfa0jw0xdys9w for AI analysis cmgialff50006r2pq3dvlr26m
🔍 Starting SEO analysis for https://google.com (client: b3b45664-8a56-424e-8de7-1e62c5c2491e)
📝 Created analysis 01K72GE464TWBRDXXZQJV1AAM5 for https://google.com
Added SEO job 5298 for https://google.com
🔍 Starting SEO analysis for https://Webhallen.com (client: 28c46e98-9b04-4eb0-aaa0-9444a8c442e3)
📝 Created analysis 01K72J662067QDEFKYSPD9GF75 for https://Webhallen.com
Added SEO job 5299 for https://Webhallen.com
🔍 Starting with unknown type, will resolve via job-meta
🔍 AnalysisPageClient using type: unknown for jobId: 5299
📡 Resolved queue: analysis -> seo for job 5299
📡 SSE for job 5299 using queue: seo, client: flfib0yspn4
🔌 SSE cleanup for job 5299, client flfib0yspn4
🔍 AnalysisPageClient using type: seo for jobId: 01K72J662067QDEFKYSPD9GF75
Cache MISS: seo-analyzer:analysis-history:https://Webhallen.com-10
Cache SET: seo-analyzer:analysis-history:https://Webhallen.com-10 (TTL: 1800s)
🔌 SSE cleanup for job 5299, client flfib0yspn4
Generating PDF for analysis 01K72J662067QDEFKYSPD9GF75 (seo)
Creating new browser instance...
Browser instance created
Browser acquired from pool (1 in pool, 0 available)
✅ PDF generated for analysis 01K72J662067QDEFKYSPD9GF75 (420440 bytes)
Browser operation completed in 2529ms
Browser released to pool
🖨️ Generated PDF for analysis 01K72J662067QDEFKYSPD9GF75, type: object, isBuffer: false, length: 420440
[SAVE] Saved artifact locally: analyses/2025-10-08/01K72J662067QDEFKYSPD9GF75/report.pdf
💾 Stored PDF for analysis 01K72J662067QDEFKYSPD9GF75
Destroying browser instance...
Browser instance destroyed
📡 SSE for job null using queue: seo, client: idb87pcein
🔍 Starting LIGHTHOUSE analysis for https://Webhallen.com (client: 882eb065-1243-4eed-80d6-7cb66b8e5581)
📝 Created analysis 01K72J8NF9Y70QJBEGKZN6HPK2 for https://Webhallen.com
📝 Created Lighthouse analysis record: 01K72J8NF9Y70QJBEGKZN6HPK2
Added Lighthouse job 495 for https://Webhallen.com
🔍 Starting with unknown type, will resolve via job-meta
🔍 AnalysisPageClient using type: unknown for jobId: 495
🔌 SSE cleanup for job null, client idb87pcein
📡 Resolved queue: lighthouse -> lighthouse for job 495
📡 SSE for job 495 using queue: lighthouse, client: gugnv1bxvxr
🔌 SSE cleanup for job 495, client gugnv1bxvxr
🔍 AnalysisPageClient using type: lighthouse for jobId: 01K72J8NF9Y70QJBEGKZN6HPK2
🔌 SSE cleanup for job 495, client gugnv1bxvxr
🔍 Starting CRAWL analysis for https://Webhallen.com (client: 36d4247e-c956-47fd-989c-41ff87740ac6)
📝 Created analysis 01K72JAQV6YFPKM4M1QC7GTBP9 for https://Webhallen.com
📝 Created Crawl analysis record: 01K72JAQV6YFPKM4M1QC7GTBP9
Added Crawl job 1006 for https://Webhallen.com
🔍 Starting with unknown type, will resolve via job-meta
🔍 AnalysisPageClient using type: unknown for jobId: 1006
📡 Resolved queue: crawl -> crawl for job 1006
📡 SSE for job 1006 using queue: crawl, client: 3ly5urr0d5t
📡 SSE for job null using queue: lighthouse, client: mwts2cpb3x8
🔌 SSE cleanup for job 1006, client 3ly5urr0d5t
🔍 AnalysisPageClient using type: crawl for jobId: 01K72JAQV6YFPKM4M1QC7GTBP9
NORMALIZE CRAWL INPUT: {
  "hasLinkmap": true,
  "hasSummaryLinkmap": true,
  "keys": [
    "pages",
    "summary",
    "linkmap",
    "sitemap",
    "robotsTxt",
    "technical",
    "schemaVersion",
    "rum",
    "ruleEngine",
    "analysisId",
    "targetUrl"
  ],
  "linkmapKeys": [
    "internalLinks",
    "externalLinks",
    "linkGraph",
    "orphanPages",
    "topLinkedPages",
    "linkDistribution",
    "score",
    "grade",
    "issues",
    "recommendations"
  ],
  "internalLinksCount": 0
}
LM0 processing: { internalCount: 0, externalCount: 0, firstInternal: undefined }
NORMALIZED CRAWL DATA {
  linkmap: { internal: 0, external: 0, broken: 0, redirects: 0, orphans: 0 },
  issues: {
    missingTitle: 0,
    missingMeta: 0,
    missingH1: 1,
    thinContent: 1,
    brokenLinks: 0,
    brokenImages: 0,
    imagesWithoutAlt: 0
  },
  sampleUrls: { internal: [], external: [], images: [] }
}
🔌 SSE cleanup for job 1006, client 3ly5urr0d5t
Generating PDF for analysis 01K72J8NF9Y70QJBEGKZN6HPK2 (lighthouse)
Creating new browser instance...
Browser instance created
Browser acquired from pool (1 in pool, 0 available)
✅ PDF generated for analysis 01K72J8NF9Y70QJBEGKZN6HPK2 (244811 bytes)
Browser operation completed in 2314ms
Browser released to pool
🖨️ Generated PDF for analysis 01K72J8NF9Y70QJBEGKZN6HPK2, type: object, isBuffer: false, length: 244811
[SAVE] Saved artifact locally: analyses/2025-10-08/01K72J8NF9Y70QJBEGKZN6HPK2/report.pdf
💾 Stored PDF for analysis 01K72J8NF9Y70QJBEGKZN6HPK2
Destroying browser instance...
Browser instance destroyed
📡 SSE for job null using queue: crawl, client: b7dtv610jct
🔍 AnalysisPageClient using type: crawl for jobId: 01K72JAQV6YFPKM4M1QC7GTBP9
NORMALIZE CRAWL INPUT: {
  "hasLinkmap": true,
  "hasSummaryLinkmap": true,
  "keys": [
    "pages",
    "summary",
    "linkmap",
    "sitemap",
    "robotsTxt",
    "technical",
    "schemaVersion",
    "rum",
    "ruleEngine",
    "analysisId",
    "targetUrl"
  ],
  "linkmapKeys": [
    "internalLinks",
    "externalLinks",
    "linkGraph",
    "orphanPages",
    "topLinkedPages",
    "linkDistribution",
    "score",
    "grade",
    "issues",
    "recommendations"
  ],
  "internalLinksCount": 0
}
LM0 processing: { internalCount: 0, externalCount: 0, firstInternal: undefined }
NORMALIZED CRAWL DATA {
  linkmap: { internal: 0, external: 0, broken: 0, redirects: 0, orphans: 0 },
  issues: {
    missingTitle: 0,
    missingMeta: 0,
    missingH1: 1,
    thinContent: 1,
    brokenLinks: 0,
    brokenImages: 0,
    imagesWithoutAlt: 0
  },
  sampleUrls: { internal: [], external: [], images: [] }
}
🔌 SSE cleanup for job null, client b7dtv610jct
Generating PDF for analysis 01K72JAQV6YFPKM4M1QC7GTBP9 (crawl)
Creating new browser instance...
Browser instance created
Browser acquired from pool (1 in pool, 0 available)
✅ PDF generated for analysis 01K72JAQV6YFPKM4M1QC7GTBP9 (71741 bytes)
Browser operation completed in 2301ms
Browser released to pool
🖨️ Generated PDF for analysis 01K72JAQV6YFPKM4M1QC7GTBP9, type: object, isBuffer: false, length: 71741
[SAVE] Saved artifact locally: analyses/2025-10-08/01K72JAQV6YFPKM4M1QC7GTBP9/report.pdf
💾 Stored PDF for analysis 01K72JAQV6YFPKM4M1QC7GTBP9
🔌 SSE cleanup for job null, client mwts2cpb3x8
Destroying browser instance...
Browser instance destroyed
📡 SSE for job null using queue: crawl, client: prrz6uvpazo
🔌 SSE cleanup for job null, client prrz6uvpazo
🤖 Starting AI analysis for https://Webhallen.com
✅ Created AI analysis cmgicf7zn000fr2pq7dcbscoh for https://Webhallen.com
🤖 Added AI Analysis job 68 for https://Webhallen.com
🚀 Queued AI analysis job 68 for https://Webhallen.com
📡 [SSE] Client connecting for AI job: cmgicf7zn000fr2pq7dcbscoh
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
